objectid,wd17cd,wd17nm,wd17nmw,bng_e,bng_n,longitude,lat,st_areashape,st_lengthshape
1656,E05002107,St Marychurch, ,292368,67368,-3.5188601,50.49618149,0.000697100582425038,0.218759030707998
1657,E05002108,St Mary's-with-Summercombe, ,292054,54916,-3.51970005,50.38417816,0.0003677440052756,0.143926931756229
1658,E05002109,Shiphay-with-the-Willows, ,289578,66373,-3.55788994,50.48670959,0.000526469178476127,0.130102616770888
1659,E05002110,Tormohun, ,291054,64834,-3.53664994,50.47314835,0.000360505721457662,0.14795664108258
1660,E05002111,Watcombe, ,291333,67360,-3.53344989,50.49591827,0.000248963582072769,0.100645076045953
1661,E05002112,Wellswood, ,293074,63934,-3.50793004,50.46543884,0.0005137914452346,0.169240788320233
1662,E05002113,Boscombe East, ,412296,91918,-1.82714999,50.72674179,0.000232651563148931,0.0935064976701267
1663,E05002114,Boscombe West, ,411240,91750,-1.84211004,50.72525024,0.000126399207819265,0.0523498041213384
1664,E05002115,Central, ,408878,91597,-1.87557995,50.72391129,0.000275742139629662,0.0794683716693852
1665,E05002116,East Cliff and Springbourne, ,410443,91804,-1.85339999,50.72574997,0.000230420560668869,0.0997745569226467
1666,E05002117,East Southbourne and Tuckton, ,415091,91594,-1.78755999,50.7237587,0.000555962523022009,0.226751663233508
1667,E05002118,Kinson North, ,406880,96667,-1.90379,50.76953125,0.000492723845682117,0.121712540570628
1668,E05002119,Kinson South, ,405993,95582,-1.91638994,50.75978851,0.000399223232891384,0.102339918833015
1669,E05002120,Littledown and Iford, ,412909,93670,-1.81840003,50.74248123,0.000510000401591343,0.141863373645222
1670,E05002121,Moordown, ,409137,94982,-1.87182999,50.75434875,0.000205819341327265,0.0692884427410225
1671,E05002122,Queen's Park, ,410445,93086,-1.85334003,50.7372818,0.000293696146717358,0.0997259221361639
1672,E05002123,Redhill and Northbourne, ,408208,95814,-1.88497996,50.76184845,0.000331640091972661,0.0911296892081723
1673,E05002124,Strouden Park, ,411822,94616,-1.83378005,50.75101089,0.000457342191997774,0.123998102613923
1674,E05002125,Talbot and Branksome Woods, ,408181,92545,-1.88542998,50.73244858,0.000434878209674088,0.0993328543929764
1675,E05002126,Throop and Muscliff, ,410056,95863,-1.85878003,50.76226044,0.000408811064203059,0.0993010475083267
1676,E05002127,Wallisdown and Winton West, ,407314,94238,-1.89768004,50.74768829,0.000306890827993506,0.114923456295207
1677,E05002128,West Southbourne, ,413671,92194,-1.80765998,50.72919083,0.000189921232647971,0.0723467088492809
1678,E05002129,Westbourne and West Cliff, ,407670,90845,-1.89270997,50.71717072,0.000260895160846003,0.0799142797096184
1679,E05002130,Winton East, ,409086,93669,-1.87258005,50.74253845,0.000172236212812569,0.0615570924225741
1680,E05002193,Barnfield, ,508913,223831,-0.41833001,51.90238953,0.000217177051452808,0.0796179659050219
